,name,predicotr,alun,result,cycle,P00,P01,P10,P11
0,array_test1,twobit,2,123,215,9,3,8,2
1,array_test1,local,2,123,215,11,1,10,0
2,array_test1,gshare,2,123,213,12,0,10,0
3,array_test1,tournament,2,123,215,11,1,10,0
4,array_test1,twobit,4,123,190,9,3,8,2
5,array_test1,local,4,123,190,11,1,10,0
6,array_test1,gshare,4,123,188,12,0,10,0
7,array_test1,tournament,4,123,190,11,1,10,0
8,array_test2,twobit,2,43,246,9,4,10,3
9,array_test2,local,2,43,247,10,3,11,2
10,array_test2,gshare,2,43,245,13,0,13,0
11,array_test2,tournament,2,43,245,11,2,11,2
12,array_test2,twobit,4,43,228,9,4,10,3
13,array_test2,local,4,43,228,10,3,11,2
14,array_test2,gshare,4,43,226,13,0,13,0
15,array_test2,tournament,4,43,226,11,2,11,2
16,basicopt1,twobit,2,88,632602,79313,12184,15121,48521
17,basicopt1,local,2,88,580658,90872,625,706,62936
18,basicopt1,gshare,2,88,581748,90642,855,995,62647
19,basicopt1,tournament,2,88,581788,90635,862,1031,62611
20,basicopt1,twobit,4,88,577751,79313,12184,15121,48521
21,basicopt1,local,4,88,521785,90872,625,706,62936
22,basicopt1,gshare,4,88,523177,90642,855,993,62649
23,basicopt1,tournament,4,88,523042,90635,862,1031,62611
24,bulgarian,twobit,2,159,408514,34753,1451,2524,32765
25,bulgarian,local,2,159,408054,34808,1396,2521,32768
26,bulgarian,gshare,2,159,409514,34969,1235,2946,32343
27,bulgarian,tournament,2,159,407519,34898,1306,2371,32918
28,bulgarian,twobit,4,159,322206,34753,1451,2524,32765
29,bulgarian,local,4,159,322833,34758,1446,2734,32555
30,bulgarian,gshare,4,159,324395,34928,1276,3049,32240
31,bulgarian,tournament,4,159,322049,34882,1322,2585,32704
32,expr,twobit,2,58,648,38,4,15,54
33,expr,local,2,58,698,38,4,35,34
34,expr,gshare,2,58,720,39,3,47,22
35,expr,tournament,2,58,680,38,4,29,40
36,expr,twobit,4,58,558,38,4,15,54
37,expr,local,4,58,608,38,4,35,34
38,expr,gshare,4,58,630,39,3,47,22
39,expr,tournament,4,58,590,38,4,29,40
40,gcd,twobit,2,178,543,57,18,21,24
41,gcd,local,2,178,557,74,1,45,0
42,gcd,gshare,2,178,555,75,0,45,0
43,gcd,tournament,2,178,551,65,10,33,12
44,gcd,twobit,4,178,536,57,18,21,24
45,gcd,local,4,178,550,74,1,45,0
46,gcd,gshare,4,178,548,75,0,45,0
47,gcd,tournament,4,178,544,65,10,33,12
48,hanoi,twobit,2,20,242681,4244,4481,2311,6421
49,hanoi,local,2,20,205268,8722,3,142,8590
50,hanoi,gshare,2,20,205278,8722,3,147,8585
51,hanoi,tournament,2,20,205392,8704,21,154,8578
52,hanoi,twobit,4,20,192420,4244,4481,2311,6421
53,hanoi,local,4,20,150403,8722,3,142,8590
54,hanoi,gshare,4,20,150413,8722,3,147,8585
55,hanoi,tournament,4,20,150578,8704,21,154,8578
56,lvalue2,twobit,2,175,54,4,0,2,0
57,lvalue2,local,2,175,56,3,1,2,0
58,lvalue2,gshare,2,175,54,4,0,2,0
59,lvalue2,tournament,2,175,56,3,1,2,0
60,lvalue2,twobit,4,175,50,4,0,2,0
61,lvalue2,local,4,175,52,3,1,2,0
62,lvalue2,gshare,4,175,50,4,0,2,0
63,lvalue2,tournament,4,175,52,3,1,2,0
64,magic,twobit,2,106,643981,26924,9144,5514,26287
65,magic,local,2,106,625779,32040,4028,5798,26003
66,magic,gshare,2,106,624773,32530,3538,5710,26091
67,magic,tournament,2,106,628870,31596,4472,5789,26012
68,magic,twobit,4,106,559108,26924,9144,5514,26287
69,magic,local,4,106,545425,29978,6090,5443,26358
70,magic,gshare,4,106,543087,30645,5423,5356,26445
71,magic,tournament,4,106,545097,30277,5791,5456,26345
72,manyarguments,twobit,2,40,64,8,0,2,0
73,manyarguments,local,2,40,64,8,0,2,0
74,manyarguments,gshare,2,40,64,8,0,2,0
75,manyarguments,tournament,2,40,64,8,0,2,0
76,manyarguments,twobit,4,40,60,8,0,2,0
77,manyarguments,local,4,40,60,8,0,2,0
78,manyarguments,gshare,4,40,60,8,0,2,0
79,manyarguments,tournament,4,40,60,8,0,2,0
80,multiarray,twobit,2,115,1992,14,16,18,114
81,multiarray,local,2,115,2021,23,7,47,85
82,multiarray,gshare,2,115,2147,30,0,104,28
83,multiarray,tournament,2,115,2023,14,16,32,100
84,multiarray,twobit,4,115,1524,14,16,18,114
85,multiarray,local,4,115,1547,22,8,47,85
86,multiarray,gshare,4,123,1819,29,1,104,28
87,multiarray,tournament,4,115,1577,14,16,32,100
88,naive,twobit,2,94,26,0,0,0,0
89,naive,local,2,94,26,0,0,0,0
90,naive,gshare,2,94,26,0,0,0,0
91,naive,tournament,2,94,26,0,0,0,0
92,naive,twobit,4,94,22,0,0,0,0
93,naive,local,4,94,22,0,0,0,0
94,naive,gshare,4,94,22,0,0,0,0
95,naive,tournament,4,94,22,0,0,0,0
96,pi,twobit,2,137,120351718,12690219,4199427,2831617,20235117
97,pi,local,2,137,119104832,12967460,3922186,2485415,20581319
98,pi,gshare,2,137,118628658,13209311,3680335,2489179,20577555
99,pi,tournament,2,137,119688024,12846697,4042949,2656248,20410486
100,pi,twobit,4,137,118234443,12690219,4199427,2831617,20235117
101,pi,local,4,137,117032793,12967408,3922238,2485195,20581539
102,pi,gshare,4,137,116401768,13209201,3680445,2488583,20578151
103,pi,tournament,4,137,117574080,12846681,4042965,2656237,20410497
104,qsort,twobit,2,105,1661414,49254,10773,14392,125626
105,qsort,local,2,105,1608993,54229,5798,2728,137290
106,qsort,gshare,2,105,1613494,53452,6575,3130,136888
107,qsort,tournament,2,105,1619103,51922,8105,4354,135664
108,qsort,twobit,4,105,1288837,49254,10773,14392,125626
109,qsort,local,4,105,1210932,54229,5798,2728,137290
110,qsort,gshare,4,105,1217482,53452,6575,3130,136888
111,qsort,tournament,4,105,1235526,51922,8105,4354,135664
112,queens,twobit,2,171,713426,41778,6976,13546,14816
113,queens,local,2,171,679488,41884,6870,8084,20278
114,queens,gshare,2,171,680680,41727,7027,8217,20145
115,queens,tournament,2,171,712963,42680,6074,14552,13810
116,queens,twobit,4,171,587423,41778,6976,13546,14816
117,queens,local,4,171,554552,41727,7027,7962,20400
118,queens,gshare,4,171,556104,41622,7132,8130,20232
119,queens,tournament,4,171,588099,42619,6135,14491,13871
120,statement_test,twobit,2,50,1223,96,24,48,34
121,statement_test,local,2,50,1244,116,4,78,4
122,statement_test,gshare,2,50,1243,120,0,82,0
123,statement_test,tournament,2,50,1250,108,12,73,9
124,statement_test,twobit,4,50,1133,96,24,48,34
125,statement_test,local,4,50,1165,116,4,78,4
126,statement_test,gshare,4,50,1164,120,0,82,0
127,statement_test,tournament,4,50,1168,108,12,73,9
128,superloop,twobit,2,134,617578,374834,4921,21954,33318
129,superloop,local,2,134,568719,378197,1558,3066,52206
130,superloop,gshare,2,134,586183,378116,1639,11731,43541
131,superloop,tournament,2,134,576950,378203,1552,7188,48084
132,superloop,twobit,4,134,589008,374834,4921,21954,33318
133,superloop,local,4,134,528970,378197,1558,4359,50913
134,superloop,gshare,4,134,554862,378116,1639,13007,42265
135,superloop,tournament,4,134,541286,378203,1552,8481,46791
136,tak,twobit,2,186,1512226,38772,6707,9178,5982
137,tak,local,2,186,1489069,42337,3142,6543,8617
138,tak,gshare,2,186,1489067,42338,3141,6543,8617
139,tak,tournament,2,186,1496705,41242,4237,7513,7647
140,tak,twobit,4,186,1467852,38772,6707,9178,5982
141,tak,local,4,186,1440290,42337,3142,6543,8617
142,tak,gshare,4,186,1440288,42338,3141,6543,8617
143,tak,tournament,4,186,1449752,41242,4237,7513,7647
